ts,duration_ms,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y
1770524431.834846,2647.0069885253906,,,,,,,,
1770524434.482065,0,261,246,,,,,,
1770524434.4922194,0,261,246,,,,,,
1770524434.5023851,0,261,246,,,,,,
1770524434.5125508,0,261,246,,,,,,
1770524434.5227726,0,330,582,,,,,,
1770524434.5329254,0,330,582,,,,,,
1770524434.543127,0,443,656,,,,,,
1770524434.5533948,0,443,656,,,,,,
1770524434.5635724,0,443,656,,,,,,
1770524434.5737257,0,443,656,,,,,,
1770524434.5941246,172.8050708770752,,,,,,,,
1770524434.7670693,0,296,60,,,,,,
1770524434.7876499,0,48,388,,,,,,
1770524434.7977743,0,48,388,,,,,,
1770524434.8079317,0,48,388,,,,,,
1770524434.8283792,3135.632038116455,,,,,,,,
1770524437.9641395,0,827,337,,,,,,
1770524437.9743285,0,827,337,,,,,,
1770524437.9848003,0,827,337,,,,,,
1770524437.9949481,0,827,337,,,,,,
1770524438.0152721,580.1887512207031,,,,,,,,
1770524438.5955617,0,65,438,,,,,,
1770524438.615902,1682.488203048706,,,,,,,,
1770524440.2984922,0,20,467,78,260,48,552,,
1770524440.3086472,0,20,467,78,260,48,552,,
1770524440.3188217,0,20,467,78,260,48,552,,
1770524440.329053,0,20,467,78,260,48,552,,
1770524440.3391943,0,20,467,78,260,48,552,,
1770524440.3595338,3528.782367706299,,,,,,,,
1770524443.8884234,0,312,622,,,,,,
1770524443.9098454,0,320,488,,,,,,
1770524443.9199781,0,320,488,,,,,,
1770524443.9301045,0,320,488,,,,,,
1770524443.9402866,0,112,169,,,,,,
1770524443.9504519,0,112,169,,,,,,
1770524443.9708152,507.92694091796875,,,,,,,,
1770524444.4787924,0,394,173,414,204,,,,
1770524444.4889405,0,394,173,414,204,,,,
1770524444.5098038,5186.890602111816,,,,,,,,
1770524449.6962523,0,292,298,,,,,,
1770524449.7166352,4199.061870574951,,,,,,,,
1770524453.915759,0,284,31,,,,,,
1770524453.9361053,1484.8060607910156,,,,,,,,
